Ano;Qtd (mi)
2009;17,23
2010;16,97
2011;17,14
2012;17,54
2013;18,59
2014;19,33
2015;20,49
2016;20,40
2017;20,45
2018;20,86
2019;20,96
2020;6,94
2021;12,69
2022;17,13
